, Open, High, Low, Close, Volume
10/19/22, 219.80, 222.93, 217.78, 222.04, 66571477
10/18/22, 229.50, 229.82, 217.25, 220.19, 75891914
10/17/22, 210.04, 221.86, 209.45, 219.35, 79428805
10/14/22, 224.01, 226.26, 204.16, 204.99, 94124516
10/13/22, 208.30, 222.99, 206.22, 221.72, 91483047
10/12/22, 215.33, 219.2999, 211.51, 217.24, 66860703
10/11/22, 220.945, 225.75, 215.00, 216.50, 77013203
10/10/22, 223.93, 226.99, 218.3582, 222.96, 67925023
10/07/22, 233.935, 234.5715, 222.02, 223.07, 83916797
10/06/22, 239.44, 244.58, 235.35, 238.13, 69298438
10/05/22, 245.01, 246.6697, 233.27, 240.81, 86982672
10/04/22, 250.52, 257.50, 242.01, 249.44, 109578492
10/03/22, 254.50, 255.16, 241.01, 242.40, 98363539
09/30/22, 266.145, 275.57, 262.47, 265.25, 67726602
09/29/22, 282.76, 283.65, 265.78, 268.21, 77620641
09/28/22, 283.08, 289.00, 277.57, 287.81, 54664809
09/27/22, 283.84, 288.67, 277.51, 282.94, 61925191
09/26/22, 271.83, 284.09, 270.31, 276.01, 58076910
09/23/22, 283.09, 284.50, 272.82, 275.33, 63748359
09/22/22, 299.86, 301.29, 285.82, 288.59, 70545406
09/21/22, 308.29, 313.80, 300.63, 300.80, 62555660
09/20/22, 306.91, 313.33, 305.58, 308.73, 61642781
09/19/22, 300.09, 309.84, 297.80, 309.07, 60231160
09/16/22, 299.605, 303.71, 295.6005, 303.35, 87087789
09/15/22, 301.825, 309.12, 300.7247, 303.75, 64795520
09/14/22, 292.24, 306.00, 291.64, 302.61, 72628648
09/13/22, 292.90, 297.3999, 290.40, 292.13, 68229617
09/12/22, 300.72, 305.49, 300.40, 304.42, 48674602
09/09/22, 291.67, 299.85, 291.245, 299.68, 54470848
09/08/22, 281.30, 289.50, 279.76, 289.26, 53713121
09/07/22, 273.10, 283.84, 272.27, 283.70, 50028922
09/06/22, 272.675, 275.99, 265.74, 274.42, 55859980
09/02/22, 281.065, 282.35, 269.08, 270.21, 50890090
09/01/22, 272.575, 277.58, 266.15, 277.16, 54287020
08/31/22, 280.62, 281.25, 271.81, 275.61, 52107340
08/30/22, 287.865, 288.48, 272.65, 277.70, 50541762
08/29/22, 282.83, 287.74, 280.70, 284.82, 41864738
08/26/22, 297.43, 302.00, 287.47, 288.09, 57163953
08/25/22, 302.36, 302.96, 291.60, 296.07, 53230008
08/24/22, 297.5634, 303.6467, 296.50, 297.0967, 57259708.3394685
08/23/22, 291.4533, 298.8267, 287.9233, 296.4533, 63985048.1444336
08/22/22, 291.9133, 292.40, 286.2967, 289.9133, 55843345.380543
08/19/22, 299.00, 300.36, 292.50, 296.6667, 61395391.2195336
08/18/22, 306.00, 306.50, 301.8533, 302.87, 47500528.6224847
08/17/22, 303.3967, 309.6567, 300.0333, 303.9967, 68765968.0057869
08/16/22, 311.6667, 314.6667, 302.8834, 306.5634, 88136301.4440472
08/15/22, 301.7867, 313.1334, 301.23, 309.32, 89359170.4085841
08/12/22, 289.415, 300.16, 285.0333, 300.03, 79657287.6899387
08/11/22, 296.5133, 298.2367, 285.8333, 286.63, 70155057.9655033
08/10/22, 297.0667, 297.51, 283.37, 294.3567, 94918854.2473532
08/09/22, 290.2933, 292.3967, 279.3533, 283.3333, 86244687.4989041
08/08/22, 295.00, 305.20, 289.0854, 290.4233, 99365283.1184068
08/05/22, 302.67, 304.6066, 285.5447, 288.17, 113172899.717986
08/04/22, 311.00, 313.6067, 305.00, 308.6334, 72256314.9045669
08/03/22, 305.00, 309.55, 301.15, 307.3967, 80091114.6773577
08/02/22, 294.0034, 307.8333, 292.6667, 300.5867, 95577477.2282532
08/01/22, 301.275, 311.8782, 295.00, 297.2767, 117042899.605756
07/29/22, 280.70, 298.32, 279.10, 297.15, 95312880.2359265
07/28/22, 280.0667, 283.30, 272.80, 280.90, 84722997.5430331
07/27/22, 263.81, 275.9256, 261.79, 274.82, 88109997.4448101
07/26/22, 266.5133, 267.31, 256.2633, 258.86, 66820768.0621977
07/25/22, 272.2167, 274.1467, 267.40, 268.4333, 64073518.141868
07/22/22, 276.22, 280.7867, 270.7133, 272.2433, 103472855.999287
07/21/22, 255.1067, 273.2667, 254.8667, 271.7067, 142032172.881067
07/20/22, 246.7833, 250.6633, 243.483, 247.50, 88864074.4229418
07/19/22, 245.00, 247.14, 236.9767, 245.53, 80890098.6541871
07/18/22, 244.9367, 250.5167, 239.6033, 240.5467, 82537437.6064143
07/15/22, 240.00, 243.6233, 236.89, 240.0667, 69683007.9791928
07/14/22, 234.8967, 238.6533, 229.3333, 238.3133, 78557487.7218329
07/13/22, 225.50, 242.06, 225.0333, 237.04, 97954497.1593196
07/12/22, 236.8467, 239.7733, 228.3683, 233.07, 87930957.4500022
07/11/22, 252.1033, 253.0633, 233.6267, 234.3433, 99509211.1142329
07/08/22, 242.3333, 254.98, 241.1614, 250.7633, 101854074.046232
07/07/22, 233.92, 245.3617, 232.21, 244.5433, 81930687.6240101
07/06/22, 230.78, 234.5633, 227.1867, 231.7333, 71853618.9162451
07/05/22, 223.00, 233.1467, 216.1667, 233.0667, 84779094.5414063
07/01/22, 227.00, 230.23, 222.12, 227.2633, 74460447.840647
06/30/22, 224.51, 229.4567, 218.8633, 224.4733, 94600437.2565873
06/29/22, 230.50, 231.1733, 222.2733, 228.49, 82897257.5959795
06/28/22, 244.4833, 249.97, 232.3433, 232.6633, 90666501.3706715
06/27/22, 249.3667, 252.07, 242.5655, 244.92, 89178297.4138294
06/24/22, 237.4683, 246.0667, 236.0867, 245.7067, 95770701.2226496
06/23/22, 237.905, 239.3167, 228.6367, 235.07, 104202686.978122
06/22/22, 234.5033, 246.8333, 233.8267, 236.0867, 101527263.055709
06/21/22, 224.6033, 243.5774, 224.3333, 237.0367, 122792972.439004
06/17/22, 213.4333, 220.9694, 213.1967, 216.76, 92641767.3133888
06/16/22, 222.7367, 225.1667, 208.6933, 213.10, 107390690.88567
06/15/22, 220.9167, 235.6633, 218.15, 233.00, 119131940.545174
06/14/22, 218.2867, 226.33, 211.7367, 220.89, 97988781.1583254
06/13/22, 223.1667, 226.6333, 214.6833, 215.7367, 102767259.01975
06/10/22, 235.1567, 239.50, 227.9133, 232.23, 98090904.1553638
06/09/22, 249.34, 255.5466, 239.3267, 239.7067, 96491301.2017523
06/08/22, 240.0867, 249.9633, 239.1767, 241.8667, 76210614.7898922
06/07/22, 234.00, 239.9967, 230.0933, 238.8867, 72808578.8885512
06/06/22, 244.3533, 244.8667, 234.35, 238.28, 84204501.5580694
06/03/22, 243.225, 247.7966, 233.4178, 234.5167, 112393730.740582
06/02/22, 244.1567, 264.21, 242.0667, 258.3333, 93473130.2892792
06/01/22, 251.72, 257.3267, 243.64, 246.79, 77247957.7598092
05/31/22, 257.9467, 259.60, 244.7433, 252.7533, 101914380.044483
05/27/22, 241.0833, 253.2667, 240.177, 253.21, 89294967.4104459
05/26/22, 220.4733, 239.5566, 217.8867, 235.91, 106003343.925903
05/25/22, 207.95, 223.1067, 207.67, 219.60, 92139324.3279596
05/24/22, 217.8433, 217.9733, 206.8567, 209.3867, 89092527.4163167
05/23/22, 218.34, 226.6517, 212.6867, 224.9667, 88903650.4217941
05/20/22, 237.9967, 240.5273, 211.00, 221.30, 144973318.795774
05/19/22, 235.6667, 244.6667, 231.37, 236.4733, 90296664.3813967
05/18/22, 248.1733, 253.50, 233.6033, 236.6033, 87811797.4534579
05/17/22, 249.12, 254.8267, 242.95, 253.87, 80236098.6731531
05/16/22, 255.72, 256.5867, 239.6962, 241.4567, 86098527.5031427
05/13/22, 257.8267, 262.45, 250.5217, 256.53, 92150727.3276289
05/12/22, 233.6667, 253.22, 226.6667, 242.6667, 140312854.930927
05/11/22, 265.00, 269.9233, 242.40, 244.6667, 97224447.180491
05/10/22, 273.1033, 275.12, 258.0833, 266.68, 84401640.5523524
05/09/22, 278.8167, 281.8767, 260.3834, 262.37, 90810207.366504
05/06/22, 295.6667, 296.00, 281.035, 288.55, 72903114.8858097
05/05/22, 313.07, 315.20, 285.90, 291.0933, 92519184.3169436
05/04/22, 301.3134, 318.50, 295.0933, 317.54, 81643701.6323326
05/03/22, 301.06, 308.0267, 296.1967, 303.0833, 63709585.152422
05/02/22, 286.9233, 302.12, 282.6767, 300.98, 75781380.80234
04/29/22, 300.75, 311.4666, 290.00, 290.2534, 88133007.4441428
04/28/22, 299.9933, 300.00, 273.90, 292.5034, 124948532.376493
04/27/22, 299.5267, 306.00, 292.4533, 293.8367, 76956384.7682648
04/26/22, 331.81, 333.3333, 291.6667, 292.14, 136133657.052124
04/25/22, 326.3233, 336.2067, 325.10, 332.6733, 68341339.0181012
04/22/22, 338.3033, 344.95, 331.3334, 335.0167, 69696564.9787996
04/21/22, 358.2433, 364.0733, 332.1383, 336.26, 105416339.942926
04/20/22, 343.3333, 344.6667, 325.0834, 325.7333, 70711314.9493719
04/19/22, 335.02, 344.98, 331.775, 342.7167, 49847815.5544133
04/18/22, 329.6767, 338.3067, 324.47, 334.7633, 51715228.5002584
04/14/22, 333.0967, 337.57, 327.3967, 328.3333, 58422421.3057498
04/13/22, 327.025, 342.08, 324.3657, 340.79, 55121218.4014847
04/12/22, 332.5467, 340.3973, 325.5334, 328.9833, 65976085.0866935
04/11/22, 326.80, 336.156, 324.88, 325.31, 59357218.2786407
04/08/22, 347.7367, 349.48, 340.8117, 341.83, 55013698.4046027
